Date,Open
2018-12-31,100.0
2019-01-02,107.21
2019-01-03,103.7
2019-01-04,104.48
2019-01-07,107.93
2019-01-08,108.28
2019-01-09,108.92
2019-01-10,975.0
2019-01-11,974.5
2019-01-14,981.2
2019-01-15,956.0
2019-01-16,966.4
2019-01-17,972.8
2019-01-18,962.3000000000001
2019-01-22,952.6
2019-01-23,946.7
2019-01-24,950.3
2019-01-25,948.7
2019-01-28,895.6999999999999
2019-01-29,888.5
2019-01-30,911.1
2019-01-31,895.9000000000001
2019-02-01,903.0
2019-02-04,896.0
2019-02-05,895.4000000000001
2019-02-06,878.8
2019-02-07,877.3000000000001
2019-02-08,956.5999999999999
2019-02-11,951.3
2019-02-12,956.5
2019-02-13,950.3
2019-02-14,942.9000000000001
2019-02-15,946.9
2019-02-19,104.7
2019-02-20,106.92
2019-02-21,104.8
2019-02-22,106.33
2019-02-25,103.05
2019-02-26,102.12
2019-02-27,101.6
2019-02-28,101.78
2019-03-01,102.17
2019-03-04,986.4
2019-03-05,103.55
2019-03-06,103.9
2019-03-07,104.19
2019-03-08,103.36
2019-03-11,103.92
2019-03-12,104.68
2019-03-13,104.64
2019-03-14,105.19
2019-03-15,106.76
2019-03-18,108.62
2019-03-19,109.57
2019-03-20,108.73
2019-03-21,110.04
2019-03-22,108.08
2019-03-25,108.66
2019-03-26,106.93
2019-03-27,107.34
2019-03-28,111.12
2019-03-29,110.49
2019-04-01,111.81
2019-04-02,113.06
2019-04-03,128.88
2019-04-04,143.85
2019-04-05,132.19
2019-04-08,140.41
2019-04-09,141.9
2019-04-10,140.4
2019-04-11,141.82
2019-04-12,133.16
2019-04-15,134.87
2019-04-16,132.63
2019-04-17,136.78
2019-04-18,137.5
2019-04-22,136.53
2019-04-23,139.39
2019-04-24,142.15
2019-04-25,136.16
2019-04-26,137.86
2019-04-29,131.27
2019-04-30,129.72
2019-05-01,133.33
2019-05-02,134.13
2019-05-03,136.64
2019-05-06,141.27
2019-05-07,141.28
2019-05-08,143.39
2019-05-09,143.29
2019-05-10,144.96
2019-05-13,164.95
2019-05-14,181.15
2019-05-15,180.96
2019-05-16,195.06
2019-05-17,193.22
2019-05-20,195.66
2019-05-21,194.14
2019-05-22,194.8
2019-05-23,188.9
2019-05-24,188.9
2019-05-28,210.98
2019-05-29,212.16
2019-05-30,213.41
2019-05-31,201.31
2019-06-03,213.29
2019-06-04,209.25
2019-06-05,188.82
2019-06-06,190.7
2019-06-07,191.54
2019-06-10,189.15
